OID,Latitude (N),Longitude (E),Blended LRO/LOLA and SELENE/Kaguya DEM
311,25.997070312499996,116.93847656250003,-117.0
312,25.997070312499996,116.94042968749997,-106.0
313,25.997070312499996,116.94238281249997,-96.0
314,25.997070312499996,116.9443359375,-84.0
315,25.997070312499996,116.9462890625,-73.5
316,25.997070312499996,116.94824218750003,-61.0
317,25.997070312499996,116.95019531249997,-46.0
318,25.997070312499996,116.9521484375,-33.0
319,25.997070312499996,116.95410156250003,-19.5
320,25.997070312499996,116.95605468749994,-5.0
321,25.997070312499996,116.9580078125,6.5
322,25.997070312499996,116.95996093749997,25.0
323,25.997070312499996,116.96191406250003,43.0
324,25.997070312499996,116.96386718750003,60.0
325,25.997070312499996,116.9658203125,77.0
326,25.997070312499996,116.96777343750006,93.0
327,25.997070312499996,116.96972656249997,110.5
328,25.997070312499996,116.9716796875,128.5
329,25.997070312499996,116.97363281250003,145.0
330,25.997070312499996,116.97558593750003,164.0
331,25.997070312499996,116.9775390625,180.0
332,25.997070312499996,116.9794921875,190.0
333,25.997070312499996,116.98144531250003,200.0
334,25.997070312499996,116.98339843750003,212.0
335,25.995117187499996,116.6591796875,92.5
336,25.9951171875,116.6611328125,95.5
337,25.995117187499996,116.66308593750003,98.0
338,25.9951171875,116.66503906249997,99.0
339,25.995117187499996,116.6669921875,100.5
340,25.995117187499996,116.66894531250003,102.5
341,25.995117187499996,116.67089843750003,104.0
342,25.995117187499996,116.67285156249997,103.0
343,25.995117187499996,116.67480468749997,102.0
344,25.995117187499996,116.6767578125,105.0
345,25.9951171875,116.6787109375,107.0
346,25.995117187499996,116.68066406249997,111.5
347,25.995117187499996,116.6826171875,117.0
348,25.995117187499996,116.6845703125,118.0
349,25.9951171875,116.6865234375,120.0
350,25.995117187499996,116.68847656250003,121.0
351,25.9951171875,116.69042968750003,122.0
352,25.9951171875,116.6923828125,126.5
353,25.995117187499996,116.69433593749997,127.5
354,25.995117187499996,116.69628906250003,130.5
355,25.9951171875,116.6982421875,136.0
356,25.995117187499996,116.70019531249997,136.0
357,25.9951171875,116.7021484375,141.0
358,25.995117187499996,116.7041015625,140.5
359,25.995117187499996,116.7060546875,140.5
360,25.9951171875,116.70800781250003,139.0
361,25.995117187499996,116.7099609375,139.5
362,25.9951171875,116.71191406250003,140.5
363,25.995117187499996,116.7138671875,134.5
364,25.9951171875,116.71582031250003,126.0
365,25.995117187499996,116.71777343749997,125.5
366,25.9951171875,116.71972656249997,121.5
367,25.995117187499996,116.7216796875,116.0
368,25.995117187499996,116.7236328125,110.5
369,25.995117187499996,116.72558593749997,103.0
370,25.995117187499996,116.7275390625,99.5
371,25.995117187499996,116.7294921875,93.0
372,25.995117187499996,116.73144531250003,87.0
373,25.995117187499996,116.73339843749994,82.0
374,25.995117187499996,116.7353515625,72.5
375,25.995117187499996,116.7373046875,62.0
376,25.995117187499996,116.73925781249997,48.5
377,25.995117187499996,116.74121093750003,45.0
378,25.9951171875,116.74316406249997,32.5
379,25.995117187499996,116.74511718750006,22.5
380,25.995117187499996,116.74707031249997,12.5
381,25.995117187499996,116.7490234375,6.0
382,25.995117187499996,116.75097656250003,-1.0
383,25.9951171875,116.75292968749997,-8.0
384,25.995117187499996,116.7548828125,-15.5
385,25.9951171875,116.7568359375,-24.0
386,25.995117187499996,116.75878906250003,-33.5
387,25.995117187499996,116.76074218750003,-44.5
388,25.995117187499996,116.76269531249997,-50.0
389,25.995117187499996,116.76464843750003,-56.0
390,25.9951171875,116.76660156249997,-63.5
391,25.995117187499996,116.7685546875,-72.5
392,25.9951171875,116.77050781250003,-80.0
393,25.9951171875,116.7724609375,-83.0
394,25.995117187499996,116.7744140625,-91.0
395,25.995117187499996,116.7763671875,-93.5
396,25.995117187499996,116.77832031250003,-102.0
397,25.995117187499996,116.7802734375,-108.5
398,25.995117187499996,116.78222656249997,-115.5
399,25.995117187499996,116.78417968750003,-124.0
400,25.995117187499996,116.78613281250003,-131.5
401,25.995117187499996,116.78808593749997,-138.5
402,25.995117187499996,116.7900390625,-142.0
403,25.995117187499996,116.7919921875,-148.0
404,25.995117187499996,116.7939453125,-150.5
405,25.995117187499996,116.79589843749997,-155.0
406,25.995117187499996,116.7978515625,-161.0
407,25.995117187499996,116.7998046875,-163.0
408,25.995117187499996,116.8017578125,-163.5
409,25.995117187499996,116.80371093750003,-164.5
410,25.995117187499996,116.80566406250003,-170.0
411,25.9951171875,116.80761718749997,-173.5
412,25.995117187499996,116.8095703125,-176.5
413,25.995117187499996,116.8115234375,-179.0
414,25.995117187499996,116.8134765625,-180.5
415,25.9951171875,116.81542968749997,-178.0
416,25.995117187499996,116.8173828125,-177.5
417,25.995117187499996,116.8193359375,-181.0
418,25.9951171875,116.8212890625,-185.0
419,25.995117187499996,116.82324218750003,-187.0
420,25.995117187499996,116.8251953125,-182.0
421,25.995117187499996,116.82714843749997,-182.5
422,25.9951171875,116.82910156249997,-184.0
423,25.995117187499996,116.83105468750003,-185.5
424,25.995117187499996,116.83300781250006,-183.5
425,25.995117187499996,116.83496093749997,-182.5
426,25.995117187499996,116.8369140625,-183.5
