OID,Latitude (N),Longitude (E),LOLA 1024ppd Elevation - Numeric
385,20.48779296875,218.62841796875,4812.0
386,20.48779296875,218.62939453125,4811.0
387,20.487792968750004,218.63037109374997,4810.0
388,20.48779296875,218.63134765625,4808.5
389,20.48779296875,218.63232421875,4807.5
390,20.48779296875,218.63330078125,4806.0
391,20.48779296875,218.63427734375,4804.5
392,20.48779296875,218.63525390625,4803.0
393,20.48779296875,218.63623046875003,4801.5
394,20.48779296875,218.63720703125,4800.0
395,20.48779296875,218.63818359375,4798.5
396,20.48779296875,218.63916015625,4797.0
397,20.48779296875,218.64013671875003,4795.0
398,20.48779296875,218.64111328125,4793.0
399,20.48779296875,218.64208984375,4791.0
400,20.48779296875,218.64306640625,4789.0
401,20.48779296875,218.64404296875,4787.0
402,20.48779296875,218.64501953125,4785.0
403,20.48779296875,218.64599609375,4784.5
404,20.48779296875,218.64697265625,4787.5
405,20.48779296875,218.64794921875,4791.5
406,20.48779296875,218.64892578125003,4795.0
407,20.48779296875,218.64990234375,4798.0
408,20.48779296875,218.65087890625,4801.0
409,20.48779296875,218.65185546875003,4804.0
410,20.48779296875,218.65283203125,4806.5
411,20.48779296875,218.65380859375,4809.5
412,20.48779296875,218.65478515625,4812.0
413,20.48779296875,218.65576171875,4814.5
414,20.48779296875,218.65673828125,4816.5
415,20.48779296875,218.65771484375003,4819.0
416,20.48779296875,218.65869140625,4821.5
417,20.48779296875,218.65966796875,4823.5
418,20.48779296875,218.66064453125,4825.5
419,20.48779296875,218.66162109374997,4827.5
420,20.48779296875,218.66259765625,4829.5
421,20.48779296875,218.66357421875,4831.0
422,20.48779296875,218.66455078125,4832.5
423,20.48779296875,218.66552734375,4834.0
424,20.48779296875,218.66650390625,4835.5
425,20.48779296875,218.66748046875003,4836.5
426,20.48779296875,218.66845703125,4837.0
427,20.48779296875,218.66943359375,4837.0
428,20.48779296875,218.67041015625,4837.0
429,20.48779296875,218.67138671875003,4838.0
430,20.48779296875,218.67236328125,4841.0
431,20.48779296875,218.67333984375,4844.5
432,20.487792968750004,218.67431640625003,4847.5
433,20.487792968750004,218.67529296875,4850.5
434,20.48779296875,218.67626953125,4853.5
435,20.48779296875,218.67724609375,4856.0
436,20.48779296875,218.67822265625,4858.5
437,20.48779296875,218.67919921875,4860.5
438,20.48779296875,218.68017578125003,4862.5
439,20.48779296875,218.68115234374997,4864.5
440,20.487792968750004,218.68212890625,4866.5
441,20.48779296875,218.68310546875,4868.5
442,20.48779296875,218.68408203124997,4870.5
443,20.48779296875,218.68505859375,4872.5
444,20.487792968750004,218.68603515625,4874.5
445,20.48779296875,218.68701171875,4876.0
446,20.48779296875,218.68798828125,4878.0
447,20.48779296875,218.68896484375,4879.5
448,20.48779296875,218.68994140625,4881.5
449,20.48779296875,218.69091796875,4883.5
450,20.48779296875,218.69189453125,4885.0
451,20.48779296875,218.69287109374997,4887.0
452,20.48779296875,218.69384765625003,4889.0
453,20.48779296875,218.69482421875,4890.5
454,20.48779296875,218.69580078125,4892.5
455,20.48779296875,218.69677734375,4894.5
456,20.48779296875,218.69775390625,4896.5
457,20.48779296875,218.69873046875,4898.5
458,20.48779296875,218.69970703125,4900.5
459,20.48779296875,218.70068359375,4902.5
460,20.48779296875,218.70166015625,4904.5
461,20.48779296875,218.70263671875003,4907.0
462,20.48779296875,218.70361328125,4910.0
463,20.48779296875,218.70458984375,4914.0
464,20.48779296875,218.70556640625003,4917.5
465,20.48779296875,218.70654296874997,4920.5
466,20.48779296875,218.70751953125,4926.5
467,20.487792968750004,218.70849609375,4932.0
468,20.48779296875,218.70947265625,4936.0
469,20.48779296875,218.71044921875,4936.5
470,20.48779296875,218.71142578125,4937.0
471,20.48779296875,218.71240234375,4938.0
472,20.48779296875,218.71337890625,4939.0
473,20.48779296875,218.71435546875,4940.0
474,20.48779296875,218.71533203125003,4941.5
475,20.487792968750004,218.71630859375003,4943.0
476,20.48779296875,218.71728515625,4944.5
477,20.48779296875,218.71826171875,4946.0
478,20.487792968750004,218.71923828125,4948.0
479,20.48779296875,218.72021484375,4949.5
480,20.48779296875,218.72119140625,4951.0
481,20.48779296875,218.72216796875,4953.0
482,20.48779296875,218.72314453125,4954.5
483,20.48779296875,218.72412109375,4957.0
484,20.48779296875,218.72509765625003,4959.0
485,20.48779296875,218.72607421875,4961.5
486,20.48779296875,218.72705078125,4963.5
487,20.48779296875,218.72802734375003,4965.0
488,20.48779296875,218.72900390624997,4966.5
489,20.48779296875,218.72998046875,4968.0
490,20.48779296875,218.73095703125,4969.0
491,20.48779296875,218.73193359375,4969.5
492,20.48779296875,218.73291015625,4970.5
493,20.48779296875,218.73388671875,4971.0
494,20.48779296875,218.73486328125,4971.5
495,20.48779296875,218.73583984375,4972.0
496,20.48779296875,218.73681640625,4972.5
497,20.48779296875,218.73779296874997,4973.0
498,20.487792968750004,218.73876953125,4973.0
499,20.48779296875,218.73974609375,4973.0
500,20.48779296875,218.74072265625,4972.5
501,20.48779296875,218.74169921875,4972.5
502,20.48779296875,218.74267578125,4973.0
503,20.48779296875,218.74365234375,4973.5
504,20.48779296875,218.74462890625,4974.0
505,20.48681640625,218.62255859375,4817.5
